WWTR1	"mirin,0.97537"	"ABT-751,0.96694"	"VU-0418934-2,0.95545"	"CYT-997,0.9551"	"MLN-4924,0.95036"	"nocodazole,0.94986"	"BRD-K66884694,0.94704"	"isoliquiritigenin,0.94438"	"MD-049,0.94428"	"alvespimycin,0.92944"	"mebendazole,0.92863"	"enzastaurin,0.92481"	"PKCbeta-inhibitor,0.92471"	"fluoropyruvate,0.92342"	"ST-056792,0.9223"	"chlorambucil,0.92193"	"BRD-K44366801,0.92044"	"BRD-K52321331,0.91657"	"BRD-A27640568,0.91505"	"cyclopiazonic-acid,0.90981"
ZNF610	"BRD-K35716340,0.96379"	"hydroxyl,0.94265"	"elvitegravir,0.94131"	"hydrocortisone,0.93216"	"BRD-K49061529,0.93047"	"oxetane,0.92732"	"BRD-K84924563,0.92089"	"SCH-58261,0.91103"	"BRD-K32644160,0.90792"	"benzylpenicillin,0.90593"	"ebselen,0.90279"	"gemcitabine,0.89714"	"BD-1063,0.88078"	"gatifloxacin,0.87902"	"PSB-06126,0.87852"	"rimcazole,0.87666"	"calcitriol,0.87541"	"erismodegib,0.87133"	"BRD-K84203638,0.86943"	"BRD-K85275009,0.86831"
ECH1	"quiflapon,0.90869"	"triclosan,0.89726"	"brazilin,0.88957"	"CGP-57380,0.87401"	"etoposide,0.86366"	"COL-3,0.86252"	"KUC111774N,0.85647"	"BRD-K18861610,0.84705"	"wortmannin,0.83873"	"SB-258585,0.83484"	"avicin-g,0.82817"	"BRD-K55827386,0.82626"	"amsacrine,0.82367"	"BRD-K45842176,0.82034"	"serdemetan,0.81881"	"camptothecin,0.81694"	"oxetane,0.81087"	"angiogenesis-inhibitor,0.80561"	"AS-601245,0.8025"	"SCH-79797,0.80164"
FGFRL1	"GR-127935,0.95217"	"perhexiline,0.89601"	"RS-17053,0.89494"	"mibefradil,0.88936"	"terfenadine,0.88898"	"BRD-A49848186,0.83977"	"15-delta-prostaglandin-j2,0.82278"	"BRD-A18411371,0.81917"	"penfluridol,0.81767"	"NTNCB,0.79744"	"devazepide,0.79297"	"BRD-K92317137,0.79214"	"selamectin,0.78974"	"BRD-K68313733,0.78788"	"BRD-A18725729,0.7877"	"GW-405833,0.7862"	"T-98475,0.78395"	"BRD-K89224880,0.77768"	"rhodomyrtoxin-b,0.76929"	"niguldipine,0.75848"
HDAC11	"diclofenac,0.96166"	"loxapine,0.93787"	"fluoropyruvate,0.88958"	"ST-4028268,0.88515"	"carbinoxamine,0.8823"	"pindolol,0.8755"	"BRD-A70591769,0.86091"	"resorcinol,0.84499"	"testosterone,0.83873"	"mefenamic-acid,0.83763"	"thiotepa,0.8279"	"docosatrienoic-acid,0.82783"	"AC-55649,0.82657"	"BRD-A09984573,0.82319"	"BRD-A41114263,0.82106"	"naftidrofuryl,0.82"	"SU-1498,0.81214"	"rilmenidine,0.8042"	"PT-630,0.79372"	"BRD-K72451865,0.78801"
PPP2R3C	"BRD-A41114263,0.88125"	"calcitriol,0.86106"	"BRD-K72451865,0.82321"	"testosterone,0.82052"	"BMS-641988,0.81401"	"verapamil,0.80684"	"dexketoprofen,0.79289"	"BRD-K96167523,0.77292"	"BRD-K18163752,0.74976"	"BRD-A09984573,0.74583"	"BRD-K98519396,0.74504"	"chlortalidone,0.73953"	"mebeverine,0.73146"	"BRD-K58618158,0.72057"	"orantinib,0.71705"	"AC-55649,0.70559"	"lenalidomide,0.7013"	"olaparib,0.69496"	"BRD-K80786583,0.68992"	"sulforaphane,0.68817"
SOAT1	"diclofenac,0.91242"	"AC-55649,0.91123"	"loxapine,0.90204"	"CGP-52432,0.90184"	"carbinoxamine,0.89773"	"ST-4028268,0.88205"	"testosterone,0.88126"	"RS-23597-190,0.87558"	"BRD-A70591769,0.86279"	"docosatrienoic-acid,0.8593"	"fluoropyruvate,0.85758"	"verapamil,0.84592"	"mefenamic-acid,0.84565"	"BRD-A09984573,0.84467"	"rilmenidine,0.84425"	"HG-5-88-01,0.82773"	"RITA,0.81577"	"PT-630,0.77568"	"AS-605240,0.77168"	"BRD-K28100108,0.76402"
TP53	"prostaglandin-a1,0.91954"	"BRD-K88278225,0.83945"	"bortezomib,0.83667"	"XMD-132,0.83543"	"HSP90-inhibitor,0.83212"	"AM-281,0.82801"	"tretinoin,0.82466"	"PU-H71,0.82278"	"auranofin,0.80645"	"QS-11,0.79144"	"BRD-A82913781,0.79134"	"BRD-K81314178,0.78453"	"NVP-AUY922,0.78423"	"nocodazole,0.7642"	"MD-II-051,0.74984"	"BRD-K66782112,0.74717"	"fenbendazole,0.74674"	"K3644,0.74412"	"afatinib,0.74409"	"SA-423131,0.74302"
CTSL1	"BRD-K89692698,0.92232"	"SKF-81297,0.83505"	"oxetane,0.82847"	"tyrphostin-AG-1478,0.80387"	"CP466722,0.80377"	"avicin-g,0.79364"	"COL-3,0.78532"	"camptothecin,0.76817"	"BRD-K01896723,0.76793"	"KN-62,0.76351"	"BRD-K65955264,0.76316"	"BRD-K59019422,0.74562"	"pitavastatin,0.7402"	"selamectin,0.73179"	"BRD-K26304855,0.72271"	"mitoxantrone,0.72258"	"MK-2206,0.72101"	"BRD-A08658758,0.71567"	"alvocidib,0.71523"	"BRD-K83670234,0.71379"
TEAD2	"genipin,0.81799"	"estradiol,0.70164"	"flunisolide,0.69941"	"raloxifene,0.69347"	"kenpaullone,0.69091"	"BRD-A89208012,0.66048"	"erismodegib,0.6581"	"BRD-K67778494,0.65617"	"parthenolide,0.64651"	"retinol,0.64017"	"heliomycin,0.63895"	"BRD-K80786583,0.61158"	"pargyline,0.60555"	"BRD-K82732294,0.60535"	"BRD-K68548958,0.60261"	"BRD-K74623475,0.59649"	"PF-04217903,0.58664"	"HO-013,0.58183"	"SA-1447005,0.58121"	"VU-0365118-1,0.57929"
AKT1	"GSK-0660,0.91393"	"BRD-K04156788,0.91144"	"BRD-K51683034,0.89994"	"flutamide,0.87623"	"orantinib,0.87595"	"BRD-K49094915,0.85796"	"RG-108,0.84235"	"genipin,0.83773"	"BRD-K64024097,0.83022"	"alrestatin,0.81747"	"testosterone,0.81414"	"PT-630,0.81254"	"BRD-K90999434,0.79738"	"M2-PK-activator,0.79281"	"SA-424577,0.79254"	"PF-04217903,0.7835"	"BRD-K20492338,0.78202"	"BRD-K39829853,0.77911"	"BRD-K10906552,0.77834"	"dacinostat,0.77192"
AURKAIP1	"naltrexone,0.91129"	"WYE-354,0.87545"	"pitavastatin,0.8728"	"trifluoperazine,0.85191"	"forskolin,0.84986"	"lovastatin,0.84005"	"ouabain,0.83893"	"F-1566-0341,0.83749"	"XAV-939,0.81255"	"M2-PK-activator,0.81024"	"calyculin,0.80361"	"triciribine,0.80073"	"bosutinib,0.79651"	"amodiaquine,0.79306"	"etodolac,0.78831"	"EI-231,0.78611"	"homoharringtonine,0.78582"	"BIX-01294,0.78463"	"fluspirilene,0.7813"	"genipin,0.78083"
B3GNT1	"BRD-K05649647,0.97547"	"KO-143,0.94011"	"tyrphostin-AG-1478,0.9073"	"methoprene-acid,0.89379"	"cefixime,0.886"	"KUC111774N,0.88514"	"brefeldin-a,0.87863"	"eriodictyol,0.87415"	"rhamnetin,0.87323"	"tunicamycin,0.87198"	"SID-26681509,0.86987"	"SA-792728,0.86677"	"brefeldin-a,0.84916"	"DG-041,0.84009"	"tosedostat,0.83854"	"RO-28-1675,0.83745"	"oxetane,0.8365"	"rottlerin,0.83028"	"ABT-737,0.82646"	"alvespimycin,0.82073"
BATF3	"fludarabine,0.91496"	"dactinomycin,0.89152"	"loperamide,0.89095"	"oxetane,0.87484"	"camptothecin,0.87444"	"TWS-119,0.86838"	"scriptaid,0.86549"	"U-0126,0.86073"	"doxorubicin,0.85958"	"AS-605240,0.85724"	"MEK1-2-inhibitor,0.83877"	"dacinostat,0.83624"	"trichostatin-a,0.8349"	"triptolide,0.83484"	"topotecan,0.82446"	"alvocidib,0.81806"	"BRD-K85853281,0.81779"	"RHO-kinase-inhibitor-III[rockout],0.81585"	"CT-200783,0.811"	"trichostatin-a,0.80836"
CASP2	"BRD-A09719808,0.98292"	"BRD-K30381304,0.92995"	"selamectin,0.9295"	"COL-3,0.92627"	"BRD-A93942655,0.9237"	"YM-155,0.91721"	"KUC111774N,0.91612"	"CT-200783,0.91332"	"BRD-A68065211,0.91286"	"SU-11652,0.90714"	"BRD-A36275421,0.90443"	"BRD-K09661167,0.89714"	"ST-4029573,0.89526"	"BRD-A37735495,0.88942"	"K784-3188,0.88866"	"NSC-632839,0.88133"	"fenretinide,0.87918"	"MD-049,0.87476"	"manumycin-a,0.87004"	"cercosporin,0.8681"
CDC42SE1	"PD-0325901,0.9603"	"danusertib,0.93736"	"AS-605240,0.91449"	"PD-184352,0.91424"	"PD-0325901,0.90723"	"MD-II-008-P,0.84874"	"selumetinib,0.8477"	"pitavastatin,0.84589"	"U-0126,0.84236"	"doxorubicin,0.84062"	"AS-703026,0.83105"	"PD-98059,0.82421"	"PU-H71,0.81581"	"lovastatin,0.80258"	"BRD-K78062244,0.80032"	"bosutinib,0.79799"	"BRD-K03601405,0.78985"	"piperlongumine,0.7861"	"decitabine,0.78266"	"isoflupredone,0.78138"
CLK3	"avicin-g,0.94915"	"oxetane,0.90593"	"BRD-K85266146,0.84238"	"KUC111774N,0.82803"	"BRD-A18411371,0.82497"	"MD-II-008-P,0.82451"	"CT-200783,0.82172"	"tigecycline,0.82121"	"BIIB021,0.82109"	"MLN-2238,0.82029"	"VU-0410183-2,0.80839"	"BRD-A18725729,0.80699"	"MLN-4924,0.80457"	"BRD-K06765193,0.80226"	"COL-3,0.79738"	"BRD-A16820783,0.79594"	"KU-C104337,0.79084"	"BRD-K49712247,0.78917"	"RJC-00245SC,0.78896"	"geldanamycin,0.78795"
CREB3L1	"sitagliptin,0.97931"	"dephostatin,0.96915"	"danazol,0.94385"	"fenbendazole,0.93061"	"iodophenpropit,0.92786"	"WR-216174,0.9164"	"fluoropyruvate,0.91125"	"BRD-K21773564,0.90929"	"mefloquine,0.90697"	"ziprasidone,0.90531"	"BRD-K38594532,0.90458"	"BRD-K61105081,0.90411"	"genipin,0.90017"	"orantinib,0.88863"	"PT-630,0.88575"	"PD-166793,0.87176"	"BMS-641988,0.8664"	"BRD-K81807412,0.86369"	"PF-04217903,0.862"	"BRD-K51998148,0.86018"
DIDO1	"capsazepine,0.8937"	"7b-cis,0.88942"	"CVF-SUMO-11,0.88655"	"terfenadine,0.88112"	"cerulenin,0.87275"	"ST-056792,0.86852"	"EMF-sumo1-39,0.86508"	"NSC-663284,0.85195"	"BRD-K77547920,0.85143"	"BRD-K78062244,0.84996"	"everolimus,0.84955"	"isoliquiritigenin,0.84925"	"obatoclax,0.8454"	"BRD-K92317137,0.83815"	"perphenazine,0.83287"	"valdecoxib,0.83166"	"BRD-A18725729,0.82471"	"NSC-3852,0.82391"	"prostratin,0.82215"	"importazole,0.82213"
EIF1B	"avicin-d,0.92888"	"BRD-K78062244,0.88379"	"afatinib,0.83355"	"BRD-A18725729,0.82752"	"terfenadine,0.8152"	"BRD-K62459624,0.81005"	"BRD-U86222656,0.7815"	"MK-1775,0.7501"	"SA-792541,0.74942"	"pifithrin-mu,0.74611"	"SN-38,0.74356"	"atorvastatin,0.73207"	"BRD-K19166598,0.72029"	"BRD-A18411371,0.71989"	"neratinib,0.69694"	"avicin-g,0.69593"	"olaparib,0.68997"	"BRD-K19499941,0.68584"	"danusertib,0.68085"	"BRD-K73261812,0.6799"
EIF4EBP1	"cyproheptadine,0.9567"	"cucurbitacin-i,0.94631"	"cephaeline,0.94181"	"homoharringtonine,0.94083"	"cycloheximide,0.93593"	"wortmannin,0.93559"	"staurosporine,0.93388"	"quiflapon,0.93135"	"SA-792987,0.92628"	"KUC111774N,0.92486"	"DG-041,0.92229"	"SU-11652,0.92209"	"COL-3,0.92161"	"oxetane,0.92063"	"midostaurin,0.91974"	"salermide,0.9196"	"emetine,0.91845"	"narciclasine,0.91236"	"BRD-A11512624,0.91125"	"RO-28-1675,0.90802"
FLI1	"BRD-A37735495,0.97858"	"K784-3188,0.96996"	"BRD-A68065211,0.967"	"BRD-U86222656,0.96092"	"avicin-g,0.95882"	"BRD-K78062244,0.95743"	"BRD-A18725729,0.95585"	"BRD-A18411371,0.94023"	"BRD-A36275421,0.92816"	"MD-049,0.92504"	"BRD-K00910650,0.9243"	"SSR-69071,0.92372"	"hinokitiol,0.92062"	"BRD-K58618158,0.9154"	"BI-78D3,0.91024"	"avicin-d,0.90965"	"BRD-K62459624,0.90963"	"BRD-K06765193,0.90949"	"K784-3131,0.90852"	"CGS-15943,0.9075"
GMDS	"KUC111774N,0.95438"	"COL-3,0.95079"	"DG-041,0.93002"	"oxetane,0.92369"	"BRD-U86222656,0.91666"	"staurosporine,0.91658"	"perhexiline,0.9141"	"tigecycline,0.90305"	"KO-143,0.90266"	"GR-127935,0.88678"	"IKK-2-inhibitor-V,0.87898"	"staurosporine,0.87751"	"BRD-K05649647,0.87692"	"BRD-K21064560,0.87346"	"K784-3188,0.86774"	"BMS-536924,0.86731"	"avicin-d,0.86633"	"avicin-g,0.8646"	"penfluridol,0.85889"	"BRD-K19499941,0.85681"
GPER	"CGP-71683,0.98661"	"NNC-55-0396,0.95969"	"tyrphostin-AG-1478,0.9595"	"CCCP,0.9562"	"RS-17053,0.95357"	"cyclopiazonic-acid,0.94534"	"penfluridol,0.94281"	"avrainvillamide-analog-4,0.93994"	"IKK-2-inhibitor-V,0.93326"	"BRD-K07259155,0.93037"	"BRD-K66884694,0.92603"	"SA-792728,0.92423"	"DG-041,0.91815"	"EMF-bca1-16,0.9171"	"KO-143,0.91681"	"cucurbitacin-i,0.91432"	"brefeldin-a,0.91125"	"NVP-AUY922,0.90296"	"SA-1478088,0.89941"	"BRD-K71935468,0.8976"
GPR119	"clomifene,0.91262"	"GSK-0660,0.83176"	"M-3M3FBS,0.8211"	"WH-4025,0.8156"	"AZD-7545,0.80415"	"BRD-A09984573,0.80262"	"BRD-K32238524,0.79653"	"forskolin,0.7869"	"BRD-K07259155,0.78641"	"dasatinib,0.78052"	"BRD-K10361096,0.78012"	"brefeldin-a,0.77799"	"atorvastatin,0.77044"	"GW-501516,0.76957"	"AKT-inhibitor-1-2,0.7642"	"BRD-K87726525,0.76076"	"eriodictyol,0.75439"	"cyclopiazonic-acid,0.75404"	"SKF-81297,0.75012"	"BRD-K58288048,0.74498"
IFNB1	"amsacrine,0.98871"	"clofarabine,0.98674"	"tosedostat,0.98195"	"rhodomyrtoxin-b,0.98065"	"BRD-A09719808,0.97996"	"SN-38,0.97991"	"BRD-K05153001,0.9796"	"BRD-K53932786,0.97739"	"teniposide,0.97477"	"pyrvinium-pamoate,0.97374"	"etoposide,0.9723"	"I-505056,0.97182"	"cladribine,0.97084"	"BRD-K08448573,0.97084"	"heliomycin,0.96974"	"CD-437,0.96743"	"BRD-K01614657,0.96355"	"BRD-K86574132,0.96315"	"BRD-K18163752,0.96308"	"FCCP,0.96267"
IKBKG	"prostratin,0.97514"	"BRD-K92317137,0.96082"	"cladribine,0.95482"	"phorbol-12-myristate-13-acetate,0.94703"	"15-delta-prostaglandin-j2,0.93204"	"KUC111774N,0.92833"	"NSC-632839,0.92658"	"PX-12,0.91754"	"BRD-K58618158,0.91555"	"TL-HRAS-61,0.91274"	"NSC-632839,0.91012"	"BRD-K44366801,0.90729"	"cucurbitacin-i,0.90043"	"manumycin-a,0.89908"	"pyrrolidine-dithiocarbamate,0.89862"	"K784-3188,0.89745"	"kinetin-riboside,0.89541"	"F-1566-0341,0.89322"	"EMF-sumo1-11,0.89309"	"BRD-K27169919,0.89199"
IL2RB	"cercosporin,0.96887"	"bortezomib,0.96592"	"BRD-A09719808,0.96413"	"suloctidil,0.955"	"YM-155,0.94513"	"KU-C104337,0.94424"	"phorbol-12-myristate-13-acetate,0.94056"	"AKT-inhibitor-IV,0.93599"	"BRD-A37735495,0.9319"	"K784-3188,0.93166"	"lasalocid,0.93097"	"parthenolide,0.92986"	"BRD-A68065211,0.92961"	"IKK-2-inhibitor-V,0.92594"	"BRD-K24156250,0.92086"	"BRD-A36275421,0.91793"	"nicardipine,0.91663"	"KUC111774N,0.91638"	"importazole,0.91615"	"AG-957,0.91614"
KLHDC9	"Ro-04-6790,0.84541"	"fludrocortisone,0.82303"	"sirolimus,0.81863"	"BRD-K58288048,0.80602"	"pregnenolone,0.80286"	"BRD-K10361096,0.80148"	"BRD-K10010115,0.78311"	"HG-5-88-01,0.77937"	"BIX-01294,0.76856"	"wortmannin,0.76487"	"methoxsalen,0.76478"	"RO-3306,0.76434"	"BRD-K35638681,0.76402"	"BRD-A81530502,0.75841"	"MW-STK33-23,0.75724"	"reversine,0.75499"	"KO-143,0.75068"	"BRD-K37043259,0.74425"	"BRD-K60067222,0.74318"	"SA-1459020,0.74113"
LPAR1	"KF-38789,0.9887"	"mebendazole,0.98623"	"prostratin,0.98474"	"phorbol-12-myristate-13-acetate,0.97788"	"ingenol,0.97581"	"vinblastine,0.97532"	"VU-0418939-2,0.97104"	"nocodazole,0.96478"	"SA-63133,0.95977"	"SA-792574,0.95931"	"VU-0418946-1,0.95734"	"vincristine,0.95327"	"TW-37,0.95252"	"VU-0418947-2,0.95018"	"LY-2183240,0.94856"	"BRD-K78385490,0.94844"	"vinblastine,0.9421"	"SSR-69071,0.94163"	"15-delta-prostaglandin-j2,0.94129"	"quinoclamine,0.93854"
MXD3	"BMS-754807,0.97993"	"KU-0063794,0.9524"	"cytochalasin-b,0.94945"	"FIT,0.93777"	"PI-828,0.92183"	"wiskostatin,0.91739"	"temsirolimus,0.91716"	"KU-0060648,0.9168"	"BRD-K88278225,0.9155"	"OSI-027,0.91148"	"PP-110,0.90441"	"MD-049,0.9031"	"wortmannin,0.90212"	"MK-1775,0.90109"	"PIK-90,0.89863"	"selamectin,0.89783"	"AZD-8055,0.89648"	"PI-103,0.89385"	"sirolimus,0.89049"	"oxetane,0.8881"
NASP	"BRD-K77480336,0.87156"	"proscillaridin,0.83267"	"ouabain,0.82811"	"NSC-632839,0.79757"	"BRD-K94493764,0.76889"	"NSC-632839,0.7489"	"cucurbitacin-i,0.74859"	"digoxin,0.74132"	"strophanthidin,0.73963"	"ouabain,0.73561"	"CT-200783,0.72963"	"MLN-2238,0.72816"	"KI-8751,0.72796"	"MLN-4924,0.72274"	"phenethyl-isothiocyanate,0.72253"	"nocodazole,0.72216"	"BRD-K55722623,0.71702"	"SB-218078,0.7168"	"YM-155,0.71323"	"ouabain,0.70723"
NLK	"selamectin,0.96614"	"BRD-K71935468,0.96453"	"BRD-A93942655,0.93973"	"terfenadine,0.92476"	"BAX-channel-blocker,0.9131"	"perhexiline,0.90157"	"BRD-K88198340,0.89757"	"5-nonyloxytryptamine,0.88914"	"brazilin,0.88007"	"isoliquiritigenin,0.87949"	"paclitaxel,0.87575"	"BO2-inhibits-RAD51,0.87381"	"RO-28-1675,0.86035"	"BRD-K05153001,0.85512"	"BRD-K28366633,0.85284"	"lylamine,0.84883"	"BRD-K19166598,0.84397"	"penfluridol,0.84222"	"BRD-K32896438,0.83482"	"BRD-K61776140,0.82922"
NSFL1C	"BRD-K80094086,0.87698"	"7b-cis,0.86688"	"NSC-663284,0.82382"	"bortezomib,0.81305"	"T-5345967,0.80564"	"amsacrine,0.80536"	"cucurbitacin-i,0.78793"	"JAK3-inhibitor-VI,0.77361"	"etacrynic-acid,0.76596"	"BRD-K95352812,0.75542"	"alvespimycin,0.75236"	"BRD-K04156788,0.7494"	"loperamide,0.73668"	"BRD-K23673040,0.73227"	"KO-143,0.72956"	"SA-1447005,0.72275"	"SB-218078,0.71735"	"SA-792728,0.71699"	"BRD-K92317137,0.71685"	"pizotifen,0.71414"
P2RY2	"oxetane,0.98282"	"avicin-g,0.9722"	"ouabain,0.95771"	"homoharringtonine,0.9499"	"selamectin,0.94258"	"tigecycline,0.93878"	"mocetinostat,0.93756"	"pyrvinium-pamoate,0.93414"	"SU-11652,0.93184"	"dactinomycin,0.93059"	"KUC111774N,0.92852"	"BRD-U86222656,0.92741"	"staurosporine,0.92648"	"avicin-d,0.92189"	"phorbol-12-myristate-13-acetate,0.92129"	"COL-3,0.91729"	"VU-0418946-1,0.91196"	"K784-3188,0.91056"	"BRD-A37735495,0.91005"	"cymarin,0.90659"
PAX8	"pyrvinium-pamoate,0.94518"	"oxetane,0.94316"	"AKT-inhibitor-IV,0.93016"	"amsacrine,0.91835"	"trichostatin-a,0.90895"	"COL-3,0.9088"	"SU-11652,0.90586"	"scriptaid,0.89692"	"BRD-K08307026,0.89628"	"trichostatin-a,0.89123"	"mocetinostat,0.89"	"MD-049,0.88791"	"belinostat,0.88635"	"camptothecin,0.88069"	"chaetocin,0.88014"	"cucurbitacin-i,0.87953"	"NSC-3852,0.87832"	"VU-0418933-1,0.87367"	"vorinostat,0.87258"	"BRD-K85853281,0.87186"
POLR2D	"homoharringtonine,0.92226"	"homoharringtonine,0.8674"	"tigecycline,0.83278"	"SID-26681509,0.81021"	"MW-A1-12,0.80942"	"alvespimycin,0.80245"	"verrucarin-a,0.80188"	"narciclasine,0.79924"	"tyrphostin-AG-126,0.78779"	"BRD-A26595446,0.76658"	"cerulenin,0.76089"	"proscillaridin,0.74598"	"JWE-035,0.74561"	"emetine,0.74481"	"torin-1,0.74103"	"BRD-K98948170,0.72466"	"CGS-15943,0.71793"	"cucurbitacin-i,0.71217"	"NSC-663284,0.70322"	"BRD-K82685933,0.70322"
PROCR	"BRD-A10330754,0.98841"	"BRD-K85275009,0.98741"	"BRD-K96433222,0.9761"	"genipin,0.95713"	"hydrocortisone,0.95476"	"BRD-K13277629,0.95337"	"amodiaquine,0.94641"	"WH-4025,0.92246"	"BRD-K07877311,0.92182"	"flufenamic-acid,0.92094"	"cefixime,0.91985"	"BRD-A62200266,0.91623"	"naltrexone,0.91568"	"BRD-A11512624,0.91557"	"oxetane,0.9152"	"diclofenac,0.91262"	"etodolac,0.91251"	"BRD-K45205755,0.9124"	"BRD-K32644160,0.91142"	"FK-888,0.91078"
RBM6	"sirolimus,0.89595"	"KB-R7943,0.89028"	"NU-7026,0.87879"	"amsacrine,0.87876"	"BIX-01294,0.87466"	"loperamide,0.86088"	"SU-11274,0.85561"	"BRD-K14027855,0.85137"	"PAC-1,0.84225"	"BRD-A06276885,0.83636"	"BRD-K49669601,0.8357"	"proscillaridin,0.83021"	"GSK-461364,0.82937"	"DL-PDMP,0.82294"	"NSC-3852,0.82048"	"thiothixene,0.81793"	"CGP-71683,0.81593"	"BRD-K98834634,0.81322"	"HDAC3-selective,0.81289"	"aloisine,0.80861"
SF1	"CGP-71683,0.97565"	"cucurbitacin-i,0.9622"	"prostratin,0.95716"	"MLN-4924,0.95254"	"phorbol-12-myristate-13-acetate,0.95127"	"bortezomib,0.94787"	"avicin-g,0.93752"	"BRD-K68548958,0.93476"	"IKK-2-inhibitor-V,0.93034"	"ingenol,0.93007"	"BRD-K60870698,0.9268"	"NSC-3852,0.91727"	"YM-155,0.91604"	"RS-17053,0.90767"	"salermide,0.90124"	"MLN-2238,0.89288"	"NSC-632839,0.88219"	"arachidonyl-trifluoro-methane,0.87969"	"BRD-K06765193,0.87888"	"manumycin-a,0.87823"
SLC1A5	"diclofenac,0.836"	"chlortalidone,0.76858"	"benzoxiquine,0.75297"	"selumetinib,0.74507"	"BRD-A61825514,0.73667"	"BRD-K80786583,0.71912"	"dacinostat,0.71379"	"dephostatin,0.69908"	"methylene-blue,0.69881"	"BRD-K90826279,0.68505"	"CAY-10594,0.68498"	"BRD-K06217810,0.66814"	"JLK-6,0.657"	"BRD-A94570195,0.6456"	"BRD-K85266146,0.64423"	"thioridazine,0.64016"	"BX-795,0.63803"	"tacrolimus,0.63678"	"trichostatin-a,0.6298"	"telmisartan,0.61861"
SLC22A18	"lasalocid,0.96715"	"triclosan,0.96338"	"PD-198306,0.95164"	"brefeldin-a,0.9423"	"tyrphostin-AG-1478,0.92071"	"bithionol,0.91906"	"BRD-K21773564,0.91681"	"GW-405833,0.89424"	"hyperforin,0.89037"	"CCCP,0.87863"	"niclosamide,0.87446"	"CGP-71683,0.85706"	"cyclopiazonic-acid,0.84377"	"capsazepine,0.84208"	"NNC-55-0396,0.83402"	"DL-PDMP,0.83151"	"AG-592,0.82678"	"ABT-737,0.82593"	"BRD-K58618158,0.82322"	"PP-1,0.81694"
SOX10	"BRD-K19724398,0.97353"	"resveratrol,0.96268"	"belinostat,0.92646"	"THM-I-94,0.92633"	"BIBU-1361,0.91946"	"BRD-K75081836,0.91503"	"TG-101348,0.91149"	"trichostatin-a,0.91065"	"scriptaid,0.90556"	"HC-toxin,0.90239"	"amsacrine,0.89836"	"KM-00927,0.89507"	"doxorubicin,0.89159"	"givinostat,0.88825"	"BRD-K00313977,0.88756"	"BRD-K03829970,0.88491"	"trichostatin-a,0.87772"	"merck-ketone,0.87702"	"vorinostat,0.86194"	"ISOX,0.85954"
SSBP4	"BRD-K19724398,0.93153"	"BRD-K03829970,0.91416"	"GR-127935,0.91151"	"doxorubicin,0.91115"	"trichostatin-a,0.90514"	"vorinostat,0.90162"	"BRD-K92317137,0.8733"	"7b-cis,0.87191"	"amsacrine,0.87189"	"camptothecin,0.86611"	"phorbol-12-myristate-13-acetate,0.86145"	"staurosporine,0.85995"	"mepacrine,0.8599"	"BRD-K68548958,0.85544"	"mitomycin-c,0.85243"	"JAK3-inhibitor-VI,0.85058"	"KM-00927,0.84961"	"BRD-K40329609,0.84843"	"BX-795,0.848"	"dacinostat,0.84691"
ST14	"brefeldin-a,0.87953"	"cyclopiazonic-acid,0.83906"	"triacsin-c,0.82655"	"dephostatin,0.81788"	"bithionol,0.81698"	"ouabain,0.80953"	"puromycin,0.80437"	"genipin,0.77845"	"BRD-K84106030,0.77628"	"SA-792728,0.77084"	"UK-356618,0.76958"	"DG-041,0.76362"	"BRD-A81282034,0.76235"	"SID-26681509,0.76065"	"BRD-K51998148,0.75297"	"cerulenin,0.74704"	"elesclomol,0.74583"	"RO-08-2750,0.74495"	"lasalocid,0.7415"	"7b-cis,0.73777"
SYNGR3	"DL-PDMP,0.88916"	"wortmannin,0.88757"	"PI-103,0.78629"	"sirolimus,0.77409"	"PI-828,0.7639"	"daunorubicin,0.73983"	"chlorpromazine,0.73697"	"rottlerin,0.72963"	"importazole,0.71066"	"scriptaid,0.70784"	"wortmannin,0.70477"	"THM-I-94,0.70012"	"BMS-754807,0.6968"	"phorbol-12-myristate-13-acetate,0.69638"	"camptothecin,0.69529"	"loperamide,0.68342"	"CGP-71683,0.68281"	"BRD-A06276885,0.67776"	"KIN001-127,0.67692"	"KU-0060648,0.67517"
TICAM2	"paclitaxel,0.90152"	"brazilin,0.90138"	"selamectin,0.89485"	"terfenadine,0.88578"	"AG-592,0.87712"	"etoposide,0.87124"	"wortmannin,0.86611"	"quiflapon,0.86525"	"BRD-A93942655,0.86377"	"GW-405833,0.85302"	"BRD-K58347372,0.84796"	"TW-37,0.83945"	"NSC-663284,0.83054"	"SID-26681509,0.82982"	"digoxin,0.8284"	"cladribine,0.82826"	"penfluridol,0.8237"	"metergoline,0.82172"	"BRD-K73261812,0.82135"	"BRD-A36275421,0.81232"
TUBB3	"BRD-A37735495,0.97705"	"auranofin,0.96614"	"avicin-g,0.95558"	"K784-3188,0.94912"	"oxetane,0.9452"	"BRD-U86222656,0.91553"	"BRD-A68065211,0.90441"	"fludarabine,0.90406"	"BRD-K49630153,0.903"	"SA-25547,0.90162"	"AKT-inhibitor-IV,0.89844"	"parbendazole,0.88949"	"KF-38789,0.88759"	"YM-155,0.88695"	"BRD-A18411371,0.88669"	"BRD-K78062244,0.8778"	"BRD-K88198340,0.87767"	"calyculin,0.8744"	"RS-I-002-6,0.87389"	"BRD-K62459624,0.87078"
