UNG	"carbetocin,0.95979"	"glibenclamide,0.95756"	"NF-449,0.94434"	"PD-158780,0.94188"	"ARG-CSC-91,0.94019"	"alda-1,0.93482"	"7-nitroindazole,0.93206"	"RS-I-002-6,0.91642"	"ivachtin,0.91352"	"BRD-K56196992,0.90973"	"oligomycin-a,0.9073"	"curcumin,0.9073"	"JTE-907,0.90582"	"CI-976,0.90531"	"IRL-2500,0.9025"	"PD-98059,0.90077"	"CHEMBL-1222381,0.89955"	"BRD-A09984573,0.89755"	"BRD-K76236182,0.89405"	"ASN-05257430,0.89339"
AFF1	"BX-795,0.98069"	"WZ-3146,0.96116"	"RO-28-1675,0.95766"	"obatoclax,0.94972"	"H-89,0.94949"	"tetrindole,0.94594"	"wortmannin,0.94402"	"VAMA-37,0.94343"	"phorbol-12-myristate-13-acetate,0.93907"	"BRD-K48803730,0.93743"	"QS-11,0.93686"	"PP-2,0.93319"	"AZD-8055,0.93152"	"wortmannin,0.92808"	"KB-R7943,0.92665"	"WZ-4-145,0.92645"	"KU-0063794,0.92454"	"GR-127935,0.92437"	"KUC111774N,0.92265"	"norgestimate,0.9221"
AFF4	"staurosporine,0.98615"	"cytochalasin-b,0.95515"	"COL-3,0.95276"	"oxetane,0.95244"	"mocetinostat,0.94774"	"TGX-115,0.94602"	"5-iodotubercidin,0.93741"	"auranofin,0.93512"	"MD-049,0.9323"	"RS-17053,0.93134"	"fasudil,0.92796"	"avicin-g,0.92764"	"PP-110,0.92616"	"PP-2,0.92464"	"wortmannin,0.92169"	"BRD-K26304855,0.92157"	"alvocidib,0.9197"	"IKK-16,0.91952"	"staurosporine,0.91829"	"BRD-U86222656,0.91724"
AFG3L2	"valdecoxib,0.98144"	"bithionol,0.97821"	"artesunate,0.97578"	"malonoben,0.96837"	"RO-28-1675,0.96729"	"TPCA-1,0.96679"	"camptothecin,0.95981"	"DG-041,0.95963"	"FCCP,0.95261"	"BRD-K18163752,0.95044"	"I-070759,0.94786"	"tosedostat,0.94722"	"BRD-K65955264,0.94717"	"BRD-K73261812,0.94673"	"tigecycline,0.94599"	"BRD-K37940862,0.93704"	"tunicamycin,0.93647"	"niclosamide,0.93482"	"CCCP,0.93475"	"GSK-3-inhibitor-II,0.93247"
AFP	"oxetane,0.98682"	"amsacrine,0.97235"	"KUC111774N,0.96368"	"cercosporin,0.96079"	"avicin-g,0.96068"	"COL-3,0.95836"	"BRD-K01614657,0.95195"	"MD-049,0.95115"	"MD-II-008-P,0.95032"	"selamectin,0.94925"	"EMF-sumo1-11,0.9492"	"BRD-K08463963,0.94631"	"NSC-3852,0.94107"	"STK-249718,0.93858"	"BRD-K78385490,0.93802"	"NSC-632839,0.93748"	"STK-397047,0.93705"	"BRD-K41925105,0.93443"	"prostratin,0.93256"	"BRD-K28916077,0.92988"
AGL	"oxetane,0.99051"	"BRD-A37735495,0.9868"	"BRD-K62459624,0.98204"	"K784-3188,0.98109"	"dactinomycin,0.98046"	"AKT-inhibitor-IV,0.97945"	"BRD-A68065211,0.97372"	"staurosporine,0.9728"	"BRD-U86222656,0.97084"	"avicin-g,0.9662"	"SU-11652,0.96584"	"fludarabine,0.96489"	"importazole,0.96337"	"daunorubicin,0.95825"	"BRD-A18725729,0.95742"	"CGP-60474,0.9539"	"staurosporine,0.95363"	"pidorubicine,0.95359"	"bisindolylmaleimide-ix,0.95305"	"JNJ-7706621,0.95276"
AGPAT1	"SB-525334,0.98051"	"ivachtin,0.97678"	"BMS-191011,0.97397"	"flumazenil,0.96596"	"dephostatin,0.96458"	"BRD-K86456986,0.9602"	"androstanol,0.95492"	"rilmenidine,0.95188"	"BRD-K41668190,0.94719"	"alda-1,0.94702"	"thiotepa,0.9366"	"oligomycin-a,0.93409"	"IKK-inhibitor-X,0.93373"	"BRD-K42644990,0.93306"	"pindolol,0.93172"	"BRD-K03122949,0.93085"	"lenalidomide,0.93065"	"rucaparib,0.92787"	"CG-930,0.926"	"fluoropyruvate,0.92469"
AGPAT2	"fluoropyruvate,0.95166"	"resveratrol,0.94362"	"SKF-81297,0.92121"	"BRD-K99502566,0.92099"	"BRD-K24346336,0.91808"	"triciribine,0.91675"	"BRD-K66782112,0.91058"	"EMF-bca1-57,0.90733"	"tretinoin,0.90555"	"necrostatin-1,0.904"	"BRD-K48950795,0.90349"	"LFM-A13,0.90208"	"triciribine,0.89618"	"BRD-K35188965,0.89481"	"PT-630,0.88684"	"thiotepa,0.88512"	"prednisolone,0.88508"	"phenacetin,0.88503"	"rilmenidine,0.87921"	"BRD-K43226598,0.87724"
AGT	"cycloheximide,0.98694"	"homoharringtonine,0.96517"	"emetine,0.96427"	"cephaeline,0.96338"	"amsacrine,0.96286"	"emodic-acid,0.95452"	"anisomycin,0.94918"	"avicin-g,0.94839"	"artesunate,0.94735"	"emetine,0.947"	"verrucarin-a,0.9462"	"QL-X-138,0.94498"	"oxetane,0.9431"	"narciclasine,0.94309"	"homoharringtonine,0.93878"	"BRD-K53932786,0.93203"	"emetine,0.9264"	"BO2-inhibits-RAD51,0.9225"	"MD-049,0.91943"	"cinobufagin,0.91457"
AGTR1	"BRD-K18163752,0.98478"	"cerulenin,0.94316"	"CA-074-Me,0.93273"	"BRD-K89224880,0.92865"	"BRD-K18726304,0.92732"	"BRD-K82732294,0.92682"	"BRD-K05331696,0.92133"	"BRD-K28366633,0.92026"	"thiothixene,0.91895"	"BRD-K22261046,0.91805"	"ispinesib,0.91472"	"CVF-SUMO-7,0.91463"	"BRD-K82685933,0.91374"	"necrostatin-1,0.91339"	"BRD-K64366758,0.91248"	"atorvastatin,0.90757"	"BRD-K70161581,0.90675"	"valdecoxib,0.90667"	"cytochalasin-d,0.90426"	"radicicol,0.90415"
AHCY	"BRD-K19166598,0.96961"	"BRD-K80786583,0.95998"	"prostratin,0.95427"	"VU-0410183-2,0.93873"	"phorbol-12-myristate-13-acetate,0.93489"	"CHEMBL-1222381,0.9263"	"VU-0418946-1,0.90837"	"tyrphostin-1,0.90796"	"AS-605240,0.90466"	"BRD-K21064560,0.90439"	"triciribine,0.90263"	"BRD-K93578426,0.90144"	"VU-0418939-2,0.9013"	"BRD-K61717269,0.90011"	"nitrofural,0.89926"	"VU-0418933-1,0.89872"	"ON-01910,0.89676"	"rucaparib,0.89322"	"BRD-K37940862,0.89299"	"niclosamide,0.88973"
AHRR	"alda-1,0.96704"	"AG-592,0.95294"	"EMF-sumo1-39,0.94924"	"BRD-K04779531,0.9487"	"BRD-K40300908,0.94779"	"AS-605240,0.94685"	"trichostatin-a,0.94503"	"MD-II-008-P,0.9403"	"vinblastine,0.93558"	"FK-866,0.93458"	"BRD-K94991378,0.92551"	"LFM-A13,0.92541"	"QL-XII-47,0.92517"	"BRD-K00007652,0.92479"	"cytarabine,0.91702"	"phenoxazine,0.91684"	"belinostat,0.91663"	"pyrrolidine-dithiocarbamate,0.91423"	"F-1566-0341,0.91405"	"digoxin,0.91352"
AIFM1	"AS-605240,0.96805"	"PD-0325901,0.96001"	"staurosporine,0.93366"	"nilotinib,0.92892"	"alda-1,0.92849"	"BRD-K97534490,0.919"	"ZM-336372,0.91649"	"GSK-3-inhibitor-II,0.90912"	"vemurafenib,0.90843"	"BMS-641988,0.90402"	"calpeptin,0.9031"	"BRD-K09191212,0.90292"	"SB-203580,0.90098"	"PD-198306,0.89973"	"doxorubicin,0.89901"	"BRD-K61001510,0.89767"	"verapamil,0.89513"	"inhibitor-BEC,0.89405"	"serdemetan,0.89285"	"lestaurtinib,0.88907"
AIM2	"BRD-K80786583,0.93737"	"fluoropyruvate,0.92391"	"BRD-K18163752,0.91875"	"MD-II-008-P,0.90948"	"rilmenidine,0.90668"	"decitabine,0.9066"	"BRD-A18411371,0.90558"	"GYKI-52466,0.90261"	"afatinib,0.90089"	"withaferin-a,0.89518"	"erastin,0.89488"	"ALW-II-49-7,0.89339"	"BG-FA-0953,0.89195"	"alvespimycin,0.8914"	"BO2-inhibits-RAD51,0.89046"	"SJ-172550,0.89021"	"radicicol,0.88962"	"thiostrepton,0.88568"	"PT-630,0.88535"	"HG-5-113-01,0.88502"
AIMP2	"malonoben,0.95953"	"merck-ketone,0.95595"	"MD-II-008-P,0.9514"	"RS-I-002-6,0.9437"	"BRD-K44366801,0.94313"	"MD-049,0.94219"	"BRD-A43155244,0.94136"	"cucurbitacin-i,0.94127"	"cucurbitacin-i,0.94053"	"EI-346-erlotinib-analog,0.9399"	"ellipticine,0.93868"	"digitoxigenin,0.93749"	"BCI-hydrochloride,0.93515"	"BRD-K60870698,0.93422"	"amsacrine,0.93416"	"trichostatin-a,0.93337"	"trichostatin-a,0.93231"	"NSC-3852,0.93218"	"digoxin,0.93208"	"danusertib,0.93207"
AIRE	"BRD-K28366633,0.95335"	"BRD-A49848186,0.9376"	"devazepide,0.93466"	"BRD-K97972722,0.93455"	"BRD-K18163752,0.9171"	"BRD-K01834163,0.91425"	"AC-55649,0.90994"	"alisertib,0.90698"	"BRD-K24156250,0.89719"	"KU-C104493,0.89206"	"elesclomol,0.88968"	"rosiglitazone,0.88919"	"7b-cis,0.88806"	"BRD-K76236182,0.88265"	"CAY-10618,0.88211"	"cucurbitacin-i,0.88067"	"bisindolylmaleimide,0.88039"	"SJ-172550,0.87376"	"BRD-K80822897,0.87308"	"tremulacin,0.87229"
AK1	"AC-55649,0.97887"	"alda-1,0.97435"	"PT-630,0.96544"	"ivachtin,0.96301"	"BRD-K61053657,0.96085"	"rolipram,0.95943"	"lenalidomide,0.95628"	"curcumin,0.95129"	"rilmenidine,0.95057"	"SJ-172550,0.94782"	"NF-449,0.94363"	"BRD-K19922318,0.94246"	"BRD-K92980438,0.93845"	"EI-247,0.93474"	"STAT3-inhibitor-VI,0.92954"	"cyanoquinoline-11,0.92921"	"BRD-K78716413,0.92675"	"AICA-ribonucleotide,0.92643"	"inhibitor-BEC,0.92554"	"felodipine,0.92402"
AK2	"oxetane,0.96813"	"ouabain,0.96039"	"ouabain,0.95227"	"SCH-79797,0.94649"	"avicin-d,0.943"	"BRD-A47816767,0.94288"	"BRD-K81795824,0.94106"	"BRD-K78385490,0.93896"	"amsacrine,0.93863"	"VU-0418933-1,0.93822"	"BRD-A18411371,0.93413"	"phorbol-12-myristate-13-acetate,0.93388"	"BRD-K73610817,0.93201"	"methylene-blue,0.93184"	"avicin-g,0.93148"	"cucurbitacin-i,0.93146"	"BRD-K60870698,0.9261"	"SA-25547,0.92604"	"BRD-K05153001,0.92471"	"bufalin,0.9247"
AK3	"oxetane,0.98716"	"BRD-K26304855,0.98627"	"BRD-U86222656,0.98029"	"staurosporine,0.97955"	"JNJ-7706621,0.97736"	"daunorubicin,0.97559"	"5-iodotubercidin,0.96624"	"pidorubicine,0.96201"	"fludarabine,0.96167"	"BRD-K62459624,0.961"	"BRD-A37735495,0.9533"	"dactinomycin,0.95288"	"avicin-g,0.95129"	"BRD-K83670234,0.95113"	"BRD-A68065211,0.95082"	"KUC111774N,0.95027"	"erythrosine,0.94825"	"dactinomycin,0.94516"	"idarubicin,0.94318"	"FCCP,0.94173"
AKAP1	"oxetane,0.97799"	"methylene-blue,0.9716"	"avicin-g,0.96026"	"KUC111774N,0.95722"	"BRD-A43126523,0.9512"	"KF-38789,0.94952"	"AT-9283,0.93949"	"avicin-d,0.93731"	"H-9,0.93577"	"selamectin,0.93511"	"menadione,0.93053"	"mitomycin-c,0.9234"	"etoposide,0.92215"	"COL-3,0.91296"	"cycloheximide,0.91295"	"YK-4279,0.91161"	"YM-155,0.91081"	"kenpaullone,0.90806"	"amsacrine,0.90369"	"staurosporine,0.89894"
AKAP11	"methylene-blue,0.93573"	"STK-249718,0.92752"	"oxetane,0.91539"	"salermide,0.91222"	"tosedostat,0.90767"	"5-iodotubercidin,0.90334"	"thiothixene,0.8981"	"BRD-K62459624,0.89739"	"HG-5-113-01,0.89448"	"BRD-K35716340,0.8944"	"pirarubicin,0.89413"	"staurosporine,0.89028"	"EMF-bca1-16,0.88743"	"COL-3,0.88172"	"hydrocortisone,0.88166"	"BRD-K05649647,0.88112"	"KUC111774N,0.87687"	"bongkrek-acid,0.8764"	"piperlongumine,0.87594"	"SID-26681509,0.87257"
AKAP13	"dasatinib,0.96754"	"AZD-7762,0.96244"	"tivozanib,0.93464"	"balsalazide,0.91442"	"tozasertib,0.9132"	"BMS-536924,0.91154"	"clopidogrel,0.90743"	"U-0126,0.90568"	"BRD-K35638681,0.90265"	"HG-5-113-01,0.8941"	"geldanamycin,0.89373"	"GR-127935,0.89227"	"tozasertib,0.89154"	"PD-184352,0.88962"	"AG-957,0.88373"	"terfenadine,0.88358"	"H-7,0.87358"	"PP-110,0.87062"	"wortmannin,0.86866"	"RS-17053,0.86864"
AKAP17A	"3,3'-diindolylmethane,0.96616"	"ALW-II-49-7,0.95194"	"ofloxacin,0.93821"	"BRD-K96167523,0.92307"	"fluoropyruvate,0.91774"	"BRD-K15107389,0.91586"	"sorafenib,0.91004"	"sitagliptin,0.90461"	"BRD-K53592093,0.90039"	"amcinonide,0.89943"	"BRD-K16057611,0.8985"	"IKK-inhibitor-X,0.89306"	"BRD-K00859168,0.89289"	"FK-866,0.88715"	"ON-01910,0.88631"	"CGS-12066B,0.88431"	"elesclomol,0.8831"	"BRD-K00954209,0.8803"	"ivachtin,0.87962"	"phenacetin,0.87905"
AKAP8	"ispinesib,0.98248"	"RO-28-1675,0.96448"	"BRD-K19166598,0.96168"	"cucurbitacin-i,0.96121"	"MD-II-008-P,0.95865"	"BRD-K58479490,0.95546"	"BAX-channel-blocker,0.95267"	"BRD-K86574132,0.95012"	"arachidonyl-trifluoro-methane,0.94381"	"BRD-A43155244,0.94349"	"brefeldin-a,0.94345"	"MLN-2238,0.94246"	"selamectin,0.94166"	"cucurbitacin-i,0.93934"	"rhodomyrtoxin-b,0.93888"	"JW-7-24-1,0.93741"	"trichostatin-a,0.93647"	"QL-XII-47,0.9343"	"I-070759,0.9343"	"tosedostat,0.93387"
AKAP8L	"CD-1530,0.98868"	"importazole,0.98823"	"MLN-2238,0.98423"	"oxetane,0.97903"	"NSC-632839,0.97884"	"manumycin-a,0.97843"	"cucurbitacin-i,0.9761"	"BRD-A09719808,0.9752"	"COT-10b,0.974"	"PX-12,0.97231"	"RS-I-002-6,0.97225"	"YM-155,0.97139"	"CD-437,0.96923"	"SA-25547,0.9692"	"calmidazolium,0.96902"	"K784-3188,0.96863"	"AKT-inhibitor-IV,0.96826"	"amsacrine,0.96596"	"ST-4029573,0.96499"	"BRD-K24156250,0.96349"
AKAP9	"BRD-K44366801,0.95635"	"SCH-79797,0.95575"	"KUC111774N,0.95028"	"DG-041,0.94882"	"staurosporine,0.94802"	"L-690488,0.94392"	"BRD-K87726525,0.93034"	"BRD-K90999434,0.92533"	"BX-795,0.92317"	"oxetane,0.92316"	"MD-II-051,0.92299"	"amsacrine,0.92286"	"BRD-K24156250,0.91988"	"BRD-K89224880,0.91978"	"clopidogrel,0.91852"	"JNJ-7706621,0.91673"	"BMS-536924,0.91276"	"alvespimycin,0.90972"	"F-1566-0341,0.90595"	"lylamine,0.90594"
AKR1A1	"SA-792987,0.97641"	"VU-0418946-1,0.97447"	"staurosporine,0.9707"	"VU-0418934-2,0.96816"	"VU-0410183-2,0.96716"	"VU-0418947-2,0.96647"	"aminopurvalanol-a,0.96465"	"oxetane,0.95997"	"dactinomycin,0.95979"	"BRD-U86222656,0.95912"	"BRD-K92317137,0.95725"	"BRD-K78385490,0.95606"	"5-iodotubercidin,0.95549"	"selamectin,0.94946"	"THM-I-94,0.94831"	"NSC-3852,0.94807"	"dactinomycin,0.94668"	"BRD-A37735495,0.94632"	"K784-3188,0.94629"	"purvalanol-a,0.94365"
AKR1B1	"oxetane,0.99124"	"staurosporine,0.98679"	"BRD-K26304855,0.97375"	"FCCP,0.97032"	"JNJ-7706621,0.96689"	"thiothixene,0.96394"	"BRD-K19166598,0.96214"	"berbamine,0.96183"	"tyrphostin-A9,0.96005"	"staurosporine,0.95971"	"avicin-g,0.95792"	"paroxetine,0.95726"	"BRD-K19499941,0.95516"	"dactinomycin,0.95441"	"5-iodotubercidin,0.95435"	"suloctidil,0.95418"	"BRD-K83670234,0.95401"	"calmidazolium,0.95115"	"NSC-632839,0.95017"	"heliomycin,0.94863"
AKR1C1	"BRD-K35716340,0.96842"	"BRD-K68548958,0.96441"	"camptothecin,0.94911"	"PNU-74654,0.91225"	"trichostatin-a,0.89915"	"I-070759,0.89817"	"cucurbitacin-i,0.89544"	"pidorubicine,0.89278"	"pyrvinium-pamoate,0.88722"	"digitoxin,0.88686"	"BRD-K84203638,0.88504"	"emetine,0.88394"	"salermide,0.88139"	"proscillaridin,0.87732"	"MK-1775,0.87614"	"cycloheximide,0.8679"	"ouabain,0.86708"	"selamectin,0.867"	"digitoxigenin,0.86639"	"bisindolylmaleimide-ix,0.86277"
AKR1C2	"SJ-172550,0.98894"	"BRD-A41114263,0.97224"	"BRD-A09984573,0.9714"	"alda-1,0.96922"	"necrostatin-1,0.95434"	"fluoropyruvate,0.95226"	"AC-55649,0.94709"	"retinol,0.94534"	"AICA-ribonucleotide,0.94403"	"STK-721917,0.93889"	"domperidone,0.93875"	"3-amino-benzamide,0.93689"	"BRD-K11671649,0.93512"	"triciribine,0.93301"	"isoxicam,0.9318"	"TUL-XX023,0.93155"	"oligomycin-a,0.93051"	"cholic-acid,0.92935"	"LFM-A13,0.92933"	"cyanoquinoline-11,0.92898"
AKR7A2	"BX-795,0.97164"	"purvalanol-a,0.9706"	"BRD-K58479490,0.96788"	"MK-2206,0.96298"	"camptothecin,0.96259"	"staurosporine,0.95361"	"AKT-inhibitor-1-2,0.95104"	"A-443644,0.94738"	"bisindolylmaleimide-ix,0.94718"	"BRD-K21064560,0.9445"	"phorbol-12-myristate-13-acetate,0.94353"	"DL-PDMP,0.94173"	"BRD-K49010888,0.94166"	"BRD-K58288048,0.93969"	"wortmannin,0.93828"	"thiothixene,0.93751"	"5-iodotubercidin,0.93696"	"BRD-K68007270,0.93165"	"RS-I-002-6,0.92823"	"mocetinostat,0.92797"
AKT1	"5-iodotubercidin,0.99268"	"oxetane,0.98998"	"staurosporine,0.98937"	"AT-7519,0.98221"	"JNJ-7706621,0.9761"	"ellipticine,0.97274"	"A-443644,0.972"	"mocetinostat,0.96996"	"alvocidib,0.9682"	"BRD-K26304855,0.96654"	"BRD-K85853281,0.96163"	"SU-11652,0.95855"	"fludarabine,0.95824"	"BRD-K81814927,0.95798"	"BRD-K83670234,0.95786"	"CGP-60474,0.95626"	"avicin-g,0.95524"	"daunorubicin,0.95486"	"BRD-K79222491,0.95323"	"doxorubicin,0.95082"
AKT2	"bisindolylmaleimide-ix,0.97794"	"erythrosine,0.97283"	"JNJ-7706621,0.96923"	"oxetane,0.96292"	"COL-3,0.96028"	"daunorubicin,0.95774"	"gossypol,0.95743"	"tacrolimus,0.95666"	"alvocidib,0.95299"	"doxorubicin,0.94985"	"5-iodotubercidin,0.94839"	"staurosporine,0.94729"	"CHEMBL-1222381,0.946"	"rhodomyrtoxin-b,0.9457"	"AMG-9810,0.94377"	"BRD-K78385490,0.94185"	"FCCP,0.94051"	"VU-0418934-2,0.9398"	"BRD-K19181733,0.93966"	"pirarubicin,0.93949"
ATM	"PP-2,0.97584"	"glibenclamide,0.96859"	"I-070759,0.95094"	"TGX-115,0.94698"	"M2-PK-activator,0.92998"	"BRD-K07877311,0.92717"	"cytochalasin-b,0.92662"	"BRD-K90999434,0.92149"	"SID-26681509,0.92135"	"LFM-A13,0.92036"	"ST-4029573,0.9136"	"aloisine,0.91358"	"emetine,0.91328"	"serdemetan,0.91244"	"cediranib,0.90861"	"rucaparib,0.90502"	"brefeldin-a,0.90494"	"L-168049,0.90449"	"QL-XII-47,0.90434"	"colforsin,0.9033"
AKTIP	"palbociclib,0.95983"	"STK-397047,0.95115"	"STK-249718,0.9496"	"chlorambucil,0.94289"	"pifithrin-mu,0.93618"	"BRD-K58347372,0.93188"	"ryuvidine,0.93146"	"olaparib,0.92825"	"BRD-A26595446,0.92692"	"BRD-K06765193,0.9243"	"everolimus,0.92391"	"BRD-K56196992,0.91101"	"MD-049,0.9079"	"obatoclax,0.90745"	"homoharringtonine,0.90644"	"BRD-K94991378,0.90268"	"BRD-K32896438,0.89906"	"XMD-1185H,0.89878"	"BRD-K62459624,0.8974"	"BRD-K48950795,0.89636"
ALAD	"oxetane,0.96044"	"amsacrine,0.95016"	"everolimus,0.94657"	"BRD-K01614657,0.94444"	"YM-155,0.94332"	"KUC111774N,0.93918"	"COT-10b,0.93816"	"SCH-79797,0.92949"	"cymarin,0.92622"	"dacinostat,0.92516"	"ST-056792,0.91963"	"5-iodotubercidin,0.9183"	"irinotecan,0.91712"	"withaferin-a,0.91358"	"COL-3,0.91066"	"trichostatin-a,0.9102"	"salermide,0.90918"	"AZD-7762,0.90911"	"gemcitabine,0.90811"	"etoposide,0.9075"
ALAS1	"verapamil,0.97958"	"AS-605240,0.9662"	"L-690330,0.95714"	"PD-0325901,0.94771"	"MW-SHH-98,0.93649"	"epothilone,0.92909"	"losartan,0.92309"	"YK-4279,0.92055"	"AG-370,0.91994"	"erythromycin,0.91624"	"15-delta-prostaglandin-j2,0.91603"	"CAY-10585,0.9112"	"orteronel,0.9098"	"selumetinib,0.90857"	"pindolol,0.9085"	"BRD-K74840245,0.89807"	"BRD-K51745483,0.89565"	"BRD-K92980438,0.89086"	"carbinoxamine,0.89028"	"BRD-K43069600,0.88954"
ALB	"staurosporine,0.98456"	"tivozanib,0.97699"	"bisindolylmaleimide-ix,0.96788"	"BO2-inhibits-RAD51,0.96749"	"VAMA-37,0.96653"	"berbamine,0.96554"	"KU-0063794,0.96508"	"AZD-8055,0.96032"	"CHEMBL-1222381,0.95786"	"TGX-115,0.95662"	"NCH-51,0.95324"	"JNJ-7706621,0.95155"	"AS-605240,0.94964"	"wortmannin,0.94954"	"selumetinib,0.94778"	"pirarubicin,0.9471"	"BRD-K26304855,0.94416"	"PP-110,0.94124"	"JNK-9L,0.94105"	"pidorubicine,0.93732"
ALDH18A1	"selamectin,0.96986"	"BMS-754807,0.96199"	"amsacrine,0.95974"	"tosedostat,0.95864"	"BRD-K78385490,0.95419"	"cucurbitacin-i,0.95349"	"penfluridol,0.94839"	"BRD-K01614657,0.94571"	"VU-0418939-2,0.94469"	"nutlin-3,0.94157"	"HG-6-64-01,0.94069"	"sorafenib,0.9346"	"BRD-K19166598,0.93262"	"BRD-K77547920,0.93243"	"terfenadine,0.9296"	"homoharringtonine,0.92871"	"I-070759,0.92622"	"TGX-115,0.92558"	"bithionol,0.92552"	"BRD-K05153001,0.92523"
ALDH1A1	"BRD-K26304855,0.94608"	"pizotifen,0.93449"	"GDC-0879,0.93289"	"mocetinostat,0.9265"	"CHEMBL-1222381,0.92396"	"daunorubicin,0.91297"	"alvespimycin,0.90842"	"APHA-compound-8,0.90529"	"BRD-K84421793,0.90184"	"chromomycin-a3,0.89073"	"sorafenib,0.88859"	"AT-7519,0.88376"	"BRD-K75081836,0.8824"	"PD-198306,0.88067"	"dacinostat,0.88004"	"lestaurtinib,0.87563"	"apigenin,0.87437"	"pidorubicine,0.87045"	"olaparib,0.86633"	"trichostatin-a,0.8646"
ALDH1A3	"BRD-K58479490,0.94545"	"afatinib,0.94062"	"niguldipine,0.92197"	"GR-127935,0.91845"	"oxetane,0.9173"	"BRD-K99582188,0.90955"	"KU-C104337,0.90533"	"K784-3188,0.89532"	"salermide,0.889"	"BRD-A37735495,0.88728"	"camptothecin,0.88296"	"valdecoxib,0.88042"	"BRD-A93942655,0.87777"	"PNU-74654,0.87766"	"BRD-A18411371,0.87116"	"BRD-K62459624,0.87046"	"niclosamide,0.86958"	"BRD-A58924247,0.86862"	"BRD-A36275421,0.86847"	"BRD-A68065211,0.86807"
ALDH2	"parthenolide,0.96292"	"BRD-K00313977,0.95005"	"atorvastatin,0.93717"	"K784-3188,0.92728"	"KU-0063794,0.92617"	"BRD-A68065211,0.92301"	"PIK-75,0.92216"	"fenbendazole,0.92183"	"BRD-A37735495,0.91924"	"epoxycholesterol,0.91466"	"AZ-628,0.91187"	"BRD-K22210218,0.91021"	"BRD-K89224880,0.90866"	"BRD-A04172077,0.90785"	"BRD-K38625260,0.90652"	"KF-38789,0.90589"	"PP-110,0.90574"	"BRD-A93942655,0.9031"	"BRD-K59460069,0.9001"	"BRD-K78062244,0.89212"
ALDH3A1	"alda-1,0.98153"	"AR-C133057XX,0.96289"	"NF-449,0.96218"	"SJ-172550,0.96115"	"oligomycin-a,0.96047"	"PT-630,0.95556"	"BRD-K19922318,0.94125"	"IKK-inhibitor-X,0.93929"	"PD-198306,0.93644"	"BRD-K92980438,0.93576"	"prostaglandin-a1,0.93498"	"guggulsterone,0.93359"	"linsitinib,0.93347"	"BMS-641988,0.93346"	"ST-4028268,0.92484"	"BRD-A54632525,0.92369"	"LFM-A13,0.92252"	"AC-55649,0.92194"	"orantinib,0.91679"	"M2-PK-activator,0.91117"
ALDH3B1	"QL-XII-47,0.98138"	"BRD-K06765193,0.97295"	"BRD-K80786583,0.97077"	"emetine,0.96985"	"narciclasine,0.96851"	"kinetin-riboside,0.96765"	"CD-437,0.96543"	"NSC-3852,0.96522"	"BRD-K44366801,0.96396"	"BRD-A68065211,0.96302"	"KUC111774N,0.96137"	"verrucarin-a,0.96039"	"cucurbitacin-i,0.95999"	"NSC-632839,0.95937"	"RS-I-002-6,0.95897"	"arachidonyl-trifluoro-methane,0.9577"	"homoharringtonine,0.95714"	"tosedostat,0.95608"	"BRD-K92317137,0.95187"	"BRD-K19166598,0.95115"
ALDH4A1	"gossypol,0.95347"	"BRD-A61825514,0.95022"	"BIX-01294,0.94613"	"brefeldin-a,0.94487"	"PAC-1,0.94141"	"obatoclax,0.94077"	"BRD-K23149109,0.92538"	"brefeldin-a,0.91822"	"BRD-K44366801,0.9125"	"PT-630,0.9115"	"SA-247615,0.91029"	"BRD-K19181733,0.90992"	"M2-PK-activator,0.90936"	"cyanoquinoline-11,0.90703"	"MD-041,0.90626"	"VU-0418934-2,0.90606"	"ingenol,0.90571"	"VU-0410183-2,0.90161"	"F-1566-0341,0.90049"	"MD-II-008-P,0.89676"
ALDH5A1	"oxetane,0.95704"	"amsacrine,0.93237"	"danusertib,0.92949"	"avicin-g,0.92018"	"cercosporin,0.91514"	"methylene-blue,0.90683"	"dactinomycin,0.9027"	"salermide,0.90132"	"GR-127935,0.88993"	"apigenin,0.88703"	"MK-1775,0.88673"	"ryuvidine,0.8844"	"midostaurin,0.8809"	"cytochalasin-d,0.87717"	"SA-792987,0.87541"	"tosedostat,0.87471"	"PI-828,0.87448"	"RS-17053,0.87417"	"vincristine,0.87412"	"curcumin,0.87316"
ALDH6A1	"tamoxifen,0.96244"	"IKK-2-inhibitor-V,0.95107"	"BRD-K60870698,0.9419"	"erythrosine,0.93879"	"BRD-K52321331,0.93309"	"dactinomycin,0.93244"	"amsacrine,0.93186"	"BRD-K78062244,0.92984"	"niclosamide,0.92963"	"JNK-9L,0.92842"	"BRD-U86222656,0.92495"	"PI-103,0.92323"	"VU-0418947-2,0.92163"	"wortmannin,0.9214"	"TGX-115,0.91933"	"pidorubicine,0.91837"	"oxetane,0.91709"	"heliomycin,0.91686"	"RS-17053,0.91653"	"BRD-K49010888,0.91622"
